na_signalech_mam_profil,o_signalech_jsem_se_poprve_dozvedel,na_signaly_chodim,na_signaly_chodim_hlavne,signaly_jsem_vyuzil_k,na_signalech_se_mi_povedlo,jsem_autorizovany,funkcionality[status][pisu],funkcionality[status][ctu],funkcionality[status][komentuji],funkcionality[sledovane_blogy][ctu],funkcionality[blogy_vyber][ctu],funkcionality[blogy_nesledovane][ctu],funkcionality[blog][komentuji],funkcionality[blog][pisu],funkcionality[fotky][prohlizim],funkcionality[fotky][vkladam],funkcionality[akce][prohlizim],funkcionality[akce][vkladam],funkcionality[zed_spolecenstvi][ctu],funkcionality[zed_spolecenstvi][pisu],funkcionality[videa][prohlizim],funkcionality[videa][vkladam],funkcionality[autorizovani][chat],jine_site[Facebook],jine_site[Twitter],jine_site[Youtube],jine_site[Instagram],jine_site[Googleplus],jine_site[Lidecz],pouzivas_dalsi_socialni_site,"Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Používám jenom Signály, jiné sociální sítě nepotřebuji]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Signály jsou pro mě nejdůležitější sociální síť]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli kamarádům, kteří na jiných sociálních sítích nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli zajímavým lidem, kteří nejsou na jiných sociálních sítích]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli něčemu, co se děje jenom tam (např. Aktivita nějakého společenství)]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli informacím, které jinde nejsou]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem kvůli blogům, které rád čtu]","Proč používáš Signály, i když je dnes bohatá nabídka jiných sociálních sítí? [Na Signálech jsem proto, že mám rád křesťanské prostředí]","Pokud jseš na Signálech (ještě) kvůli něčemu jinému, můžeš nám to prozradit tady:"," [Těší mě, když se mým kamarádům líbí můj obsah (status, fotka, blog, video)]"," [Těší mě, když se cizím lidem líbí můj obsah]"," [Těší mě, když moji kamarádi komentují můj obsah]"," [Těší mě, když cizí lidé komentují můj obsah]"," [Těší mě, když mi kamarádi píšou soukromé zprávy]"," [Těší mě, když mi cizí lidé píšou soukromé zprávy]", [Autorizovaní uživatelé jsou pro mě důvěryhodnější než neautorizovaní]," [Komunikace na Signálech mě někdy obtěžuje, nebo je mi z ní těžko]"," [Na Signálech jsem zažil/a situace, které jsou mi nepříjemné]"," [Na Signálech jsem zažil/a situace, které zažívat nechci]",na_signalech_jsem_zazil,"(Jen ti, kdo zažili nepříjemné komentáře) Komentáře mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné komentáře) [Uvažoval/a jsem, že kvůli nepříjemným komentářům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné komentáře) [Na Signálech by mělo být zakázané psát takové komentáře]","(Jen ti, kdo zažili nepříjemné komentáře) [Ti, kdo píší takové komentáře, by na Signálech vůbec neměli být]","(Jen ti, kdo zažili nepříjemné vzkazy) Vzkazy mi byly nepříjemné, protože","(Jen ti, kdo zažili nepříjemné vzkazy) [Uvažoval/a jsem, že kvůli nepříjemným vzkazům ze Signálů odejdu]","(Jen ti, kdo zažili nepříjemné vzkazy) [Na Signálech by mělo být zakázané psát takové vzkazy]","(Jen ti, kdo zažili nepříjemné vzkazy) [Ti, kdo píší takové vzkazy, by na Signálech vůbec neměli být]",jsem,vek,studuji,(Jen žáci a studenti) Jsem žák / student,moje_nejvyssi_dosazene_vzdelani
10 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),od všeho něco,"Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který se někomu líbil,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády",ano,méně než jednou týdně,denně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,několikrát za měsíc nebo méně,vůbec,několikrát za měsíc nebo méně,několikrát za měsíc nebo méně,ne,spíše souhlasím,zcela souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,vůbec nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,30-40,"ne, vzdělání mám již ukončené",,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
9 let,díky propagaci na akci,několikrát za týden,"hledám jestli mě zde něco osloví a zda bych neměla k něčemu co říct, nebo sama něco vytvořit.","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  hledám inspiraci, pravdu - možnost jí šířit.","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít nové kamarády",ano,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,,,jednou nebo několikrát týdně,,několikrát za měsíc nebo méně,,,spíše souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,"jen k tomu posledním - křesťanské prostředí..  trochu:-). Také ta starší podoba signálu byla myslím lepší.(""Modernější"" není v každém případě lepší)",zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,je mi to jedno,je mi to jedno,spíše souhlasím,spíše souhlasím,,"spíše to co jsem četla v diskuzích. P. Viz a vzájemné komentáře s některými , to bylo oboustraně dost silně nechutný. ",,,,,,,,žena,40-50,"ne, vzdělání mám již ukončené",SŠ - učňovský obor s maturitou,SŠ - učňovský obor s maturitou
rok nebo kratší dobu,jinak,několikrát za týden,"Kvůli kontaktu s kamarády, které moc často nevídám,  Protože rád čtu blogy","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který se někomu líbil,  Psát si se svými kamarády",ano,méně než jednou týdně,alespoň jednou týdně,vůbec,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,alespoň jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,jednou nebo několikrát týdně,vůbec,,spíše souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,zcela souhlasím,zcela souhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,je mi to jedno,zcela souhlasím,je mi to jedno,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,13-15,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",ZŠ,ZŠ
7 let,už si nepamatuji,několikrát denně (nebo je mám otevřené celý den),"Protože tu píšu blog,  Protože rád čtu blogy","Psaní blogu,  Čtení blogů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Vyvést někoho z omylu,  Někoho ""pořádně setřít"",  Psát si se svými kamarády",ne,vůbec,alespoň jednou týdně,vůbec,denně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,,vícekrát za den,vůbec,,vícekrát za den,několikrát za měsíc nebo méně,vůbec,,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,zcela souhlasím,vůbec nesouhlasím,,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,zcela souhlasím,zcela souhlasím,"Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od cizích lidí","Byly od cizího člověka, příliš osobní a nevhjodný komentář od cizího člověka",vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,"Byly od cizího člověka, příliš osobní a dost nevhodné spamy od cizího člověka",vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,žena,21-25,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - technický obor,VŠ - technický obor
9 let,už si nepamatuji,několikrát za týden,"Protože rád čtu blogy,  Protože rád čtu redakční obsah,  Kvůli přehledu křesťanských akcí","Čtení blogů,  Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Lépe poznat nauku vlastní církve",ano,vůbec,alespoň jednou týdně,vůbec,méně než jednou týdně,denně,méně než jednou týdně,vůbec,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,alespoň jednou týdně,vůbec,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,,spíše souhlasím,spíše nesouhlasím,spíše souhlasím,spíše nesouhlasím,spíše souhlasím,vůbec nesouhlasím,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,,,,,,,,,,,žena,30-40,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
8 let,od kamaráda,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …),  Kvůli kontaktu s kamarády, které moc často nevídám,  Protože tu píšu blog","Psaní blogu,  Čtení blogů,  Nalezení akce, na kterou jsem pak jel/a,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Napsat článek, pod kterým se rozhořela diskuse,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Vyvést někoho z omylu,  Někoho ""pořádně setřít"",  Lépe poznat nauku vlastní církve,  Psát si se svými kamarády",ano,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,vůbec,vůbec,ne,zcela souhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",spíše souhlasím,spíše souhlasím,spíše souhlasím,zcela souhlasím,je to křesťanstská sociální síť,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,spíše souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,muž,21-25,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - přírodovědný obor,VŠ - přírodovědný obor
10 let,už si nepamatuji,několikrát za měsíc,"Protože rád čtu redakční obsah,  Kvůli přehledu křesťanských akcí","Čtení blogů,  Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít křesťanskou akci, na kterou jsem pak jel",ano,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,každý den,vůbec,každý den,vůbec,vůbec,vůbec,,spíše nesouhlasím,spíše nesouhlasím,zcela souhlasím,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,zcela souhlasím,,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,spíše souhlasím,spíše nesouhlasím,zcela souhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,muž,25-30,"ne, vzdělání mám již ukončené",,VŠ - zdravotnický obor
10 let,díky propagaci na akci,několikrát za týden,"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …),  Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli přehledu křesťanských akcí,  foto z akcí","Nalezení akce, na kterou jsem pak jel/a,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády",ano,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vícekrát za den,vůbec,každý den,vůbec,vícekrát za den,vůbec,,"ani souhlas, ani nesouhlas",spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,zcela souhlasím,,spíše souhlasím,je mi to jedno,je mi to jedno,je mi to jedno,zcela souhlasím,spíše souhlasím,spíše souhlasím,je mi to jedno,vůbec nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,25-30,"ne, vzdělání mám již ukončené",,"SŠ - s odborným zaměřením (průmyslová, obchodní apod.)"
9 let,náhodným brouzdáním na internetu,několikrát za týden,"Kvůli kontaktu s kamarády, které znám jenom ze Signálů","Psaní blogu,  Čtení blogů,  Diskutování s ostatními uživateli,  Hledání nových kamarádů,  Hledání partnera/partnerky","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Psát si se svými kamarády,  Najít nové kamarády",ano,vůbec,vůbec,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,několikrát za měsíc nebo méně,vůbec,ne,vůbec nesouhlasím,,,,,,,vůbec nesouhlasím,,spíše souhlasím,je mi to jedno,je mi to jedno,je mi to jedno,spíše souhlasím,je mi to jedno,spíše souhlasím,spíše souhlasím,je mi to jedno,je mi to jedno,,,,,,,,,,žena,30-40,"ne, vzdělání mám již ukončené",,VŠ - humanitní obor
10 let,od kamaráda,několikrát za týden,"Kvůli kontaktu s kamarády, které moc často nevídám,  Kvůli přehledu křesťanských akcí","Čtení blogů,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil",ne,vůbec,alespoň jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vůbec,alespoň jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,alespoň jednou týdně,vůbec,,každý den,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,,spíše nesouhlasím,spíše souhlasím,spíše nesouhlasím,vůbec nesouhlasím,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,spíše souhlasím,,je mi to jedno,spíše nesouhlasím,spíše nesouhlasím,,spíše souhlasím,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,vůbec nesouhlasím,,,,,,,,,,žena,25-30,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - humanitní obor,VŠ - humanitní obor
8 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády, které moc často nevídám,  něco se dozvím, jindy zasměju, ""bezpečnějšímu"" a srozumitelnému prostředí","Psaní blogu,  Čtení blogů,  Čtení redakčního obsahu,  Nalezení akce, na kterou jsem pak jel/a,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Napsat článek, který se někomu líbil,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády,  Najít partnera/partnerku",ano,méně než jednou týdně,denně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,vůbec,vůbec,,zcela souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",zcela souhlasím,zcela souhlasím,"ani souhlas, ani nesouhlas",zcela souhlasím,,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,spíše souhlasím,zcela souhlasím,,,,Nepříjemné komentáře od cizích lidí,"Pisatel psal, že nemám pravdu",spíše nesouhlasím,,,,,,,muž,21-25,"ne, vzdělání mám již ukončené",,SŠ - učňovský obor
8 let,od kamaráda,několikrát za měsíc,"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …),  Protože rád čtu blogy,  Protože rád diskutuji","Psaní blogu,  Čtení blogů,  Nalezení akce, na kterou jsem pak jel/a,  Diskutování s ostatními uživateli,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.),  Hledání nových kamarádů","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Najít bloggera, kterého od té doby rád/a čtu,  Napsat článek, který četlo hodně lidí,  Napsat článek, který se někomu líbil,  Obhájit v diskusi svůj názor,  Díky diskusi opravit svůj mylný názor,  Díky diskusi si rozšířit obzory,  Vyvést někoho z omylu,  Najít křesťanskou akci, na kterou jsem pak jel,  Psát si se svými kamarády",ano,vůbec,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,vůbec,vůbec,vůbec,vůbec,méně než jednou týdně,méně než jednou týdně,vůbec,vůbec,vícekrát za den,vůbec,každý den,jednou nebo několikrát týdně,vůbec,vůbec,ne,spíše nesouhlasím,spíše nesouhlasím,"ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas","ani souhlas, ani nesouhlas",,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,"Nepříjemné komentáře od cizích lidí, Nepříjemné vzkazy od cizích lidí","Byly od někoho, kdo je o hodně starší, Urážely mě",spíše nesouhlasím,zcela souhlasím,spíše souhlasím,"Byly od cizího člověka, Urážely mě",spíše nesouhlasím,spíše souhlasím,spíše souhlasím,žena,25-30,"ne, vzdělání mám již ukončené",,VOŠ
8 let,už si nepamatuji,jednou za měsíc nebo méně,pouze ze setrvačnosti,Čtení blogů,"Přečíst si článek, který se mi líbil",ne,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,vůbec,,vůbec,vůbec,několikrát za měsíc nebo méně,vůbec,vůbec,vůbec,ano,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,vůbec nesouhlasím,spíše souhlasím,,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,je mi to jedno,,,,,,,,,,muž,30-40,"ne, vzdělání mám již ukončené",,VŠ - přírodovědný obor
9 let,díky propagaci na akci,několikrát denně (nebo je mám otevřené celý den),"Kvůli kontaktu s kamarády z okolí (město, škola, farnost, …)","Čtení blogů,  Čtení redakčního obsahu,  Kontaktu s kamarády, které znám osobně (z místa bydliště, z DCM apod.)","Přečíst si článek, který mě povzbudil,  Přečíst si článek, který se mi líbil,  Přečíst si článek, kde jsem se něco nového dozvěděl/a,  Obhájit v diskusi svůj názor,  Díky diskusi si rozšířit obzory,  Vyvést někoho z omylu,  Psát si se svými kamarády",ano,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,alespoň jednou týdně,denně,méně než jednou týdně,méně než jednou týdně,vůbec,alespoň jednou týdně,méně než jednou týdně,méně než jednou týdně,vůbec,méně než jednou týdně,méně než jednou týdně,alespoň jednou týdně,méně než jednou týdně,vícekrát za den,vůbec,vůbec,jednou nebo několikrát týdně,vůbec,vůbec,vůbec,,spíše souhlasím,"ani souhlas, ani nesouhlas",spíše nesouhlasím,,spíše souhlasím,spíše souhlasím,"ani souhlas, ani nesouhlas",spíše souhlasím,,spíše souhlasím,je mi to jedno,je mi to jedno,spíše nesouhlasím,spíše souhlasím,je mi to jedno,spíše souhlasím,spíše nesouhlasím,spíše nesouhlasím,spíše nesouhlasím,,,,,,,,,,muž,25-30,"ano (jsem žák ZŠ nebo student SŠ, VOŠ, VŠ)",VŠ - přírodovědný obor,VŠ - přírodovědný obor
